issue,category,category_description,comment_count,comment_likes_count,comment_replies_count,comment_shares_count,likes_per_comment
Environmental,"Flooding, Drainage, and Water Quality.Water Pollution and Contamination","Observations regarding sewage spills, discolored or odorous water, and broader concerns about water quality.",550,758,198,0,1.378181818
Environmental,Local Government Performance and Accountability.Communication and Transparency,"Concerns over inadequate notifications, unclear service information, and lack of accountability from public officials.",136,183,81,0,1.345588235
Environmental,Local Government Performance and Accountability.Maintenance Negligence,"Critiques of poor upkeep of parks, drainage systems, roads, and other environmental infrastructures by local authorities.",1449,2128,688,0,1.468599034
Environmental,"Public Health, Safety, and Noise Pollution.Hazardous Pollutants and Odor Issues","Concerns over harmful smells, poor air quality, and environmental pollutants that pose risks to public health.",401,422,154,0,1.052369077
Environmental,"Public Health, Safety, and Noise Pollution.Noise, Fireworks, and Disturbances","Complaints about loud events, fireworks, and excessive noise that disrupt community well-being and daily life.",306,637,192,0,2.081699346
Environmental,Sustainable Transport and Clean Energy.Renewable Energy and Infrastructure Upgrades,"Mentions of solar panels, EV charging points, and improvements in sustainable infrastructure projects.",133,265,62,0,1.992481203
Environmental,Sustainable Transport and Clean Energy.Transport Policies and Emissions Control,"Discussions on low-emission zones, cycle lanes, traffic restrictions, and measures to curb vehicular pollution.",486,1218,391,0,2.50617284
Environmental,Uncategorised.No category,,21,37,8,0,1.761904762
Environmental,Uncategorised.Not enough information,,306,331,87,0,1.081699346
Environmental,"Urban Development, Green Space, and Planning.Housing Development and Greenbelt Crisis",Debates on planning proposals and housing developments that threaten greenbelt areas and cherished natural spaces.,674,1499,407,0,2.224035608
Environmental,"Urban Development, Green Space, and Planning.Urban Infrastructure and Aesthetics","Remarks on urban planning decisions, roadworks, and changes that affect the visual quality and functionality of public spaces.",1122,2191,516,0,1.952762923
Environmental,Waste Management and Recycling.Bin Collection and Scheduling,"Comments highlighting delays, missed pickups, and scheduling conflicts in waste and recycling collections.",1888,2197,737,0,1.163665254
Environmental,Waste Management and Recycling.Fly Tipping and Illegal Dumping,Observations complaining about unauthorized dumping and fly‐tipping that degrade public spaces and green areas.,1324,1847,556,0,1.395015106
Environmental,Waste Management and Recycling.Recycling Guidelines and Policy Confusion,"Remarks expressing frustration about shifting recycling rules, bag/container changes, and unclear disposal standards.",608,1060,316,0,1.743421053
Environmental,"Wildlife, Biodiversity, and Animal Welfare.Animal Welfare and Pet Responsibility","Comments focusing on mistreatment of animals, irresponsible pet ownership (including pet waste), and calls for better protection of wildlife.",1317,2206,542,0,1.675018983
Environmental,"Wildlife, Biodiversity, and Animal Welfare.Wildlife Protection and Habitat Conservation",Advocacy for natural habitat preservation and concerns over biodiversity loss due to development.,1572,2777,740,0,1.76653944
Foreign issues,"Diaspora, Cultural Identity & International Solidarity.International Solidarity and Cross-Cultural Support","Comments promoting global unity and mutual support across different cultures, urging empathy and collaboration in addressing foreign crises.",17,15,5,0,0.8823529412
Foreign issues,"Foreign Aid, Refugee Support & Government Spending.Criticism of Government Spending on Foreign Interventions","Comments decrying high taxpayer expenditures on foreign wars and arms exports, often contrasting these costs with domestic needs and failures.",14,32,7,0,2.285714286
Foreign issues,"Foreign Aid, Refugee Support & Government Spending.Support for International Aid and Refugee Initiatives","Posts and comments urging donations, humanitarian assistance, and host sponsorships for those affected by wars (e.g., Ukraine, Gaza), emphasizing empathy and solidarity.",47,47,17,0,1
Foreign issues,Historical and Comparative Perspectives.Historical Comparisons and Colonial Legacies,"Posts drawing parallels between historical events such as wars, colonial interventions, or treaties (e.g., the Balfour Declaration) and current foreign conflicts to provide context and critique.",18,29,3,0,1.611111111
Foreign issues,"Media, Messaging & Discourse Framing.Critique of Media Bias, Misinformation, and Censorship","Posts debating how foreign issues are reported, alleging selective narratives, misinformation, or deliberate censorship in media coverage.",5,0,2,0,0
Foreign issues,"Media, Messaging & Discourse Framing.Use of Humor, Satire, and Irony in Framing Foreign Issues","Comments that employ wit, sarcasm, or playful mockery to discuss or critique international conflicts, often to underscore perceived absurdities in policy or media narratives.",13,11,9,0,0.8461538462
Foreign issues,Middle East Conflict Discourse.Critique and Justification of Military Interventions in the Region,"Posts that scrutinize military actions, the use of weapons and tactics in the Middle East, and debates over the legitimacy and motivations behind these interventions.",13,43,18,0,3.307692308
Foreign issues,Middle East Conflict Discourse.Israel-Palestine Narratives and Humanitarian Concerns,"Comments focusing on the conflict in Israel-Palestine that emphasize humanitarian crises, ceasefire demands, allegations of genocide, and personal testimonies of suffering.",127,346,151,0,2.724409449
Foreign issues,"Military Technology, Exercises & Future Conflict Speculation.Observations on Military Hardware and Test Exercises","Posts discussing sightings or details of military equipment, test flights, helicopter exercises, and other technical aspects that signal geopolitical tensions.",19,23,6,0,1.210526316
Foreign issues,"Military Technology, Exercises & Future Conflict Speculation.Speculative Predictions on Conflict Escalation",Comments warning about or predicting future increases in military tensions and conflict escalation based on current observations and international maneuvers.,6,6,1,0,1
Foreign issues,"National Identity, Xenophobia & Domestic Prioritization.Domestic Prioritization over Foreign Engagement","Posts asserting that a nation’s internal issues and local interests should be the primary focus, often questioning extensive foreign involvement.",69,200,72,0,2.898550725
Foreign issues,"National Identity, Xenophobia & Domestic Prioritization.Xenophobic and Racist Narratives in Foreign Discourse","Comments employing derogatory language, prejudice, or nationalist sentiment when discussing international conflicts or the presence of foreigners, highlighting underlying biases.",8,17,4,0,2.125
Foreign issues,Political and Diplomatic Critique.Analysis of International Relations and Diplomatic Dynamics,"Discussions that examine treaties, alliances, and global diplomatic maneuvers to critique or rationalize current international stances and conflicts.",3,1,1,0,0.3333333333
Foreign issues,Political and Diplomatic Critique.Criticism of Political Leadership and Foreign Policy,"Posts targeting political figures and government decisions regarding foreign interventions, international aid, or diplomatic stances, often blaming leaders for mismanaged foreign policies.",25,34,13,0,1.36
Foreign issues,Uncategorised.Not enough information,,33,54,12,0,1.636363636
Health,Dental and Pharmacy Services.NHS Dental Care and Transition to Private,"Discussions about difficulties in obtaining NHS dental care, long waiting lists, and the trend toward privatization and higher treatment costs.",328,311,142,0,0.9481707317
Health,Dental and Pharmacy Services.Prescription and Pharmacy Service Issues,"Experiences concerning prescription ordering, delayed mail notifications, pharmacy inefficiencies, and frustrations with medication supply services.",103,134,54,0,1.300970874
Health,"Health Policy, Funding, and Infrastructure.Criticism of Government and Policy Impact","Arguments criticising government cuts, mismanagement, privatization, and the political decisions that affect healthcare funding and service quality.",651,2071,443,0,3.181259601
Health,"Health Policy, Funding, and Infrastructure.Infrastructural and Operational Changes","Observations on facility closures, new digital systems, parking fee implementations, and other operational changes that disrupt or reshape healthcare service delivery.",171,449,128,0,2.625730994
Health,Healthcare Service Experience.Digital and Remote Consultation Challenges,"Accounts highlighting difficulties with online appointment systems, e‐consult platforms, and the barriers faced by those less digitally literate.",40,80,38,0,2
Health,Healthcare Service Experience.Hospital and A&E/Urgent Care Experience,"Narratives detailing hospital visits, emergency department experiences, urgent treatment encounters, and the quality and timeliness of care provided.",476,1003,265,0,2.107142857
Health,Healthcare Service Experience.Primary Care and GP Access,"Experiences regarding scheduling, phone call challenges, and face‐to‐face interactions at general practices and primary care services.",813,1186,311,0,1.458794588
Health,Healthcare Service Experience.Transportation and Parking Challenges,"Experiences related to accessing healthcare due to issues with hospital parking, taxi or bus service disruptions, and physical accessibility barriers.",179,304,98,0,1.698324022
Health,"Lifestyle and Preventive Health.Diet, Lifestyle, and Self-Care Advice","Advice and personal observations related to nutrition, exercise, home remedies, and general measures to maintain wellbeing.",99,189,51,0,1.909090909
Health,Lifestyle and Preventive Health.Public Health Campaigns and Screening,"Talk surrounding vaccination drives, health screenings, and public initiatives for early disease detection and preventive care.",48,50,13,0,1.041666667
Health,Mental Health and Community Wellbeing.Community Support and Mental Health Initiatives,"Discussions about support groups, suicide prevention measures, and community-based projects aimed at bolstering mental health and wellbeing.",197,294,73,0,1.492385787
Health,Mental Health and Community Wellbeing.Personal Mental Health Narratives and Struggles,"Individual accounts of mental health difficulties, personal distress, depression, and the emotional impact of inadequate support or treatment.",173,278,78,0,1.606936416
Health,Uncategorised.Not enough information,,75,100,36,0,1.333333333
Health,Veterinary and Pet Health Discussions.Animal and Public Health Intersection,Discussions linking pet-related issues (such as animal waste and toxic exposures) with wider public health and environmental concerns.,28,68,17,0,2.428571429
Health,Veterinary and Pet Health Discussions.Pet Health and Veterinary Experiences,"Experiences regarding veterinary care, treatment costs, and issues affecting the health of pets.",122,134,71,0,1.098360656
Health,Vulnerable Populations and Family Health.Child and Family Health Concerns,"Narratives about pediatric care, parental challenges in arranging medical appointments for children, and the broader impacts on family wellbeing.",187,182,70,0,0.9732620321
Health,"Vulnerable Populations and Family Health.Elderly, Disability, and Special Care Needs","Comments focusing on the challenges faced by older adults, people with disabilities, and those with special care needs in accessing services.",402,584,160,0,1.452736318
Housing,"Construction Quality, Maintenance, and Safety.Delayed Maintenance and Neglected Repairs",Reports of chronic delays in repair work—whether by private developers or housing associations—that lead to deteriorating living conditions.,55,55,33,0,1
Housing,"Construction Quality, Maintenance, and Safety.Substandard Construction and Unsafe Workmanship","Critiques of poor building practices, inferior materials, and work that creates safety hazards in new builds or renovations.",172,138,44,0,0.8023255814
Housing,Developer Motives and Housing Design.Aesthetic and Functional Criticism of Modern Housing,"Comments criticizing the design, scale, and appearance of modern housing developments, especially high-rise blocks and concrete constructions that disrupt local character.",51,91,18,0,1.784313725
Housing,Developer Motives and Housing Design.Profit-Driven Development vs Community Needs,"Debates over projects that prioritize developer profit and luxury conversion (e.g. student flats) over providing affordable, family-oriented housing.",75,219,47,0,2.92
Housing,"Fraud and Misrepresentation in Housing.Rental Scams, Fraudulent Listings and Deposits","Accounts of scams and misleading practices in the rental market, including deposit fraud, bogus listings, and deceptive tactics by some landlords or agents.",48,37,28,0,0.7708333333
Housing,Fraud and Misrepresentation in Housing.Unethical Practices by Landlords and Developers,"Reports of backhanded deals, unethical behavior, and misrepresentation in both rental and development sectors that compromise tenant trust and community well‐being.",34,44,30,0,1.294117647
Housing,"Heritage, Nostalgia, and Community Identity.Nostalgic Reflections and Sense of Place",Recollections and sentiments that contrast the past architectural charm and community spirit with modern developments perceived as alienating or profit-driven.,494,781,207,0,1.58097166
Housing,"Heritage, Nostalgia, and Community Identity.Preservation of Historic and Community Buildings","Expressions of regret over the demolition or repurposing of culturally significant buildings, local landmarks, and longstanding community spaces.",370,686,178,0,1.854054054
Housing,Homelessness and Emergency Housing.Access to Social Welfare and Support Services,"Calls for improved social safety nets, better council response, and increased community and charity interventions to help vulnerable populations.",143,266,88,0,1.86013986
Housing,Homelessness and Emergency Housing.Homelessness Crisis and Temporary Accommodation,"Accounts describing experiences of homelessness, use of emergency shelters, or repurposed vehicles, underscoring the urgent shortage of stable housing.",536,1303,273,0,2.430970149
Housing,Housing Affordability and Economic Implications.Economic Policy and Investment in Housing,"Observations on government policies (such as right‐to‐buy, council house sell-offs, fiscal measures) and investor-driven influences that shape market conditions and affect long-term housing affordability.",182,429,158,0,2.357142857
Housing,Housing Affordability and Economic Implications.Rent and Mortgage Affordability,"Comments that focus on the skyrocketing rents and mortgage costs along with discussions about the growing disparity between wages and house prices, making home ownership or renting unaffordable for many families.",600,1150,349,0,1.916666667
Housing,Landlord-Tenant Relationships and Repair Issues.Negligent Landlord Practices and Repair Failures,"Narratives highlighting landlords or housing associations that delay or neglect essential repairs and maintenance, creating unsafe or unhealthy living conditions.",500,551,186,0,1.102
Housing,Landlord-Tenant Relationships and Repair Issues.Rental Market Challenges and Eviction Fears,"Discussions about rapid rent increases, fears of eviction, ambiguous rental agreements, and disputes over deposits and service charges that leave tenants insecure.",198,225,68,0,1.136363636
Housing,"Planning, Development, and Land Use Controversies.Criticism of Planning Processes and Council Governance","Comments decrying secretive planning applications, last-minute approvals, and a lack of proper consultation by local councils that result in unwanted developments.",1799,3624,1071,0,2.014452474
Housing,"Planning, Development, and Land Use Controversies.Environmental Impact and Land Use Strain","Concerns over the loss of green belt, increased flooding, traffic congestion, and environmental damage caused by rapid housing developments on sensitive or underprepared sites.",529,1121,349,0,2.119092628
Housing,Political and Institutional Accountability.Critique of Local Government and Council Decisions,"Observations and frustrations directed at local council actions, planning committee decisions, and bureaucratic practices that are seen as neglecting community interests.",115,176,75,0,1.530434783
Housing,"Political and Institutional Accountability.Policy Shifts, Electoral Accountability and Political Promises","Discussions that call out broken promises by politicians and shifts in policy affecting housing, questioning the accountability of political leaders.",30,51,19,0,1.7
Housing,"Public Infrastructure, Amenities, and Services.Local Amenities, Healthcare, and Educational Services","Discussions focusing on the strain placed on schools, hospitals, and other community services as new developments push local infrastructure to its limits.",91,243,44,0,2.67032967
Housing,"Public Infrastructure, Amenities, and Services.Transport, Traffic, and Parking Challenges","Concerns regarding inadequate transport links, congestion, insufficient parking, and road infrastructure problems resulting from rapid housing expansion.",192,339,115,0,1.765625
Housing,Uncategorised.No category,,2,9,0,0,4.5
Housing,Uncategorised.Not enough information,,211,152,80,0,0.7203791469
Immigration,Cultural Identity and Terminology Debates.Cultural Narratives and Memory,"Reflections on how immigration shapes collective memory, community identity and the cultural landscape, both positively and negatively.",3,6,0,0,2
Immigration,Cultural Identity and Terminology Debates.Definitional Clarity,"Discussions focused on precisely defining terms such as 'illegal immigrant', 'asylum seeker' and 'refugee' in order to combat oversimplification.",3,7,0,0,2.333333333
Immigration,Cultural Identity and Terminology Debates.National Identity and Historical Context,"Comments that invoke traditional values, historical migration patterns, or national heritage to frame current immigration debates.",6,3,1,0,0.5
Immigration,"Economic, Social and Infrastructure Concerns.Housing, Welfare and Public Services Strain","Observations linking high levels of immigration to pressures on housing, healthcare, education, and other essential public services.",123,497,122,0,4.040650407
Immigration,"Economic, Social and Infrastructure Concerns.Job Market and Economic Resource Allocation","Remarks discussing the impact of immigration on employment opportunities, welfare systems, or the economic burden on taxpayers.",16,18,15,0,1.125
Immigration,"Economic, Social and Infrastructure Concerns.Local Community and Urban Changes","Comments addressing how immigration alters neighborhood identities, contributes to urban decay or changes the character of local communities.",30,64,36,0,2.133333333
Immigration,Humanitarian and Inclusive Perspectives.Celebration of Cultural Diversity,Remarks that highlight the benefits of multiculturalism and the enrichment immigrants bring to society through diversity.,10,57,8,0,5.7
Immigration,Humanitarian and Inclusive Perspectives.Empathy for Refugees and Asylum Seekers,"Expressions of compassion and concern for individuals fleeing conflict or persecution, emphasizing their human plight.",90,237,45,0,2.633333333
Immigration,Humanitarian and Inclusive Perspectives.Support for Integration and Legal Migration,Positive views advocating for properly managed and legal immigration that facilitates successful social integration.,30,18,7,0,0.6
Immigration,"Legal, Administrative, and Procedural Discussions.Legal Status and Asylum Procedures","Discussions clarifying the distinctions between asylum seekers, legal immigrants and illegal migrants, and addressing related rights.",2,1,1,0,0.5
Immigration,"Legal, Administrative, and Procedural Discussions.Residency, Documentation and Administrative Processes","Comments focusing on visa requirements, paperwork, and bureaucratic hurdles encountered in the immigration process.",4,5,3,0,1.25
Immigration,Political Debate and Policy Critique.Criticism of Government Immigration Policies,"Comments that focus on dissatisfaction with how political leaders and governments handle immigration, asylum, and border control.",52,167,60,0,3.211538462
Immigration,"Political Debate and Policy Critique.Media, Misinformation and Propaganda",Comments that challenge the portrayal of immigration issues in the media and accuse political or media institutions of spreading misleading narratives.,7,14,6,0,2
Immigration,Political Debate and Policy Critique.Partisan Blame and Political Figures,"Remarks attributing immigration challenges to specific political parties, leaders, or ideologically driven decisions.",43,141,49,0,3.279069767
Immigration,Uncategorised.Not enough information,,8,3,5,0,0.375
Immigration,Xenophobic Rhetoric and Anti-Immigrant Sentiments.Exclusionary Demands,"Calls for strict measures such as deportation, complete border closures or the removal of immigrants from the community.",22,64,23,0,2.909090909
Immigration,Xenophobic Rhetoric and Anti-Immigrant Sentiments.Explicit Hate Speech,"Comments using overt dehumanizing language, slurs or aggressive insults to target immigrants based solely on their origin or appearance.",37,89,21,0,2.405405405
Immigration,Xenophobic Rhetoric and Anti-Immigrant Sentiments.Implicit Scapegoating,"Remarks that indirectly blame immigrants for societal, economic or cultural problems without providing specific evidence.",176,504,157,0,2.863636364
Pensions,Administration and Payment.Digital & Service Accessibility Barriers,"Issues highlighting the challenges pensioners face with overly digitalized systems—such as online forms, banking, and service access—that impede their ability to manage their pensions and related services.",35,81,17,0,2.314285714
Pensions,Administration and Payment.Pension Payment Delays,Critiques of administrative inefficiencies that result in late pension payments or errors in pension processing.,1,12,4,0,12
Pensions,Comparative Wealth and Inequality.Corporate vs. Ordinary Pensions,Criticism highlighting the disparity between lucrative executive or corporate pension schemes and the modest benefits received by ordinary pensioners.,7,21,9,0,3
Pensions,Comparative Wealth and Inequality.Intergenerational Pension Disparities,"Debates that compare pension provisions across age groups, stressing concerns over fairness between older and younger generations.",4,16,2,0,4
Pensions,Economic Conditions.Pension Income Pressures,"Debates over how insufficient pension amounts, combined with rising living costs and rapid price increases, strain the financial well‐being of retirees.",21,76,16,0,3.619047619
Pensions,Exploitation and Fraud.Scams and Fraud Targeting Pensioners,Warnings and reports about fraudulent schemes and exploitative practices that specifically aim to take advantage of vulnerable pensioners.,13,12,6,0,0.9230769231
Pensions,Policy and Legislation.Gender-based Pension Disparities (WASPI),"Dialogues specifically addressing unequal pension outcomes for women, including calls for compensation and reform under WASPI.",5,1,1,0,0.2
Pensions,Policy and Legislation.Pension Eligibility & Means Testing,"Talk centered on how pensions are awarded—based on lifetime contributions, savings thresholds, and subject to means testing—with debates on fairness.",16,50,15,0,3.125
Pensions,Policy and Legislation.Retirement Age Debate,"Discussions that focus on proposals to change or maintain the retirement age, including criticism of rising ages and the impact on retirees’ lifestyles and finances.",4,14,2,0,3.5
Pensions,Policy and Legislation.Tax and Pension Deductions,"Conversations about the impact of taxation on pension income, including complaints about being taxed again on money already taxed during working life.",14,21,17,0,1.5
Pensions,Political Discourse.Pensions in Political Rhetoric,Comments where pension issues are invoked by politicians or used in debates to support or criticize government policies.,15,45,18,0,3
Pensions,Political Discourse.Political Exploitation of Pensioners,Discussions critiquing how political parties may manipulate pensioners as a voting bloc or fail to address their real financial and social needs.,13,46,4,0,3.538461538
Pensions,"Social and Community Aspects.Community Support, Concessions & Social Events","Observations on local initiatives, discounts, social activities, or concessions specifically aimed at improving the day-to-day lives of pensioners.",52,130,23,0,2.5
Pensions,Social and Community Aspects.Retirement Celebrations & Tributes,"Positive messages and tributes that honor long service, celebrate retirement milestones, and acknowledge individual contributions.",22,21,1,0,0.9545454545
Pensions,Uncategorised.No category,,1,0,0,0,0
Pensions,Uncategorised.Not enough information,,62,129,38,0,2.080645161
Public services,Banking and Financial Services.Branch Closures and Service Accessibility,Focuses on the decline of face‐to‐face banking through branch and post office closures and the challenges posed by an over-reliance on digital banking.,159,250,91,0,1.572327044
Public services,Community Support & Social Services.Charitable and Volunteer Initiatives,"Covers positive or critical discussions about community-driven projects, food clubs, and volunteer efforts that supplement formal public services.",606,938,305,0,1.547854785
Public services,Community Support & Social Services.Home Care and Social Support,"Focuses on issues related to home care, disability support, and social services provided for vulnerable populations.",544,685,213,0,1.259191176
Public services,Council Governance & Communication.Local Government Responsiveness and Accountability,"Encompasses criticism of unresponsive councils, poor communication channels, and ineffective complaint resolution.",1614,2785,858,0,1.725526642
Public services,Digital & Online Public Service Platforms.Digital Service Platform Frustrations,"Deals with difficulties and inefficiencies in online systems (websites, apps, digital booking) that hinder access to and the usability of public services.",122,163,55,0,1.336065574
Public services,"Healthcare & Medical Services.Hospital, Emergency, and Ambulatory Care","Relates to experiences in A&E, emergency services, and overall hospital care quality along with ambulatory service challenges.",792,1839,420,0,2.321969697
Public services,Healthcare & Medical Services.Primary & Specialist Care Access,"Encompasses difficulties in securing timely GP, dental, or specialist appointments including cancellations and long wait times.",2138,3029,868,0,1.416744621
Public services,Law Enforcement & Public Safety.Law Enforcement and Safety Concerns,Encompasses critiques of police and emergency response effectiveness as well as broader concerns about community safety and crime prevention.,797,1473,478,0,1.848180678
Public services,"Political Governance & Public Spending.Budget Cuts, Taxation & Spending Critique","Highlights complaints about increased taxes, budget cuts, and misallocation of public funds that diminish service quality.",1069,2861,608,0,2.676333022
Public services,Political Governance & Public Spending.Political Leadership and Policy Criticism,"Addresses frustrations with political decisions, austerity measures, and policy failures that negatively affect public service delivery.",443,1250,280,0,2.821670429
Public services,Postal & Delivery Services.Mail and Parcel Delivery Issues,"Focuses on delays, misdirected deliveries, and inconsistent service from postal carriers affecting residents’ expectations.",920,767,364,0,0.8336956522
Public services,Public Amenities & Facilities.Communal Space Quality and Accessibility,"Discusses the condition and accessibility of public amenities (public toilets, libraries, parks, leisure centres) and the frustration when these are poorly maintained or closed.",1046,1876,504,0,1.793499044
Public services,Public Transportation & Parking.Parking and Permit Challenges,"Focuses on inadequate parking availability, high permit fees, and inconsistent enforcement leading to accessibility issues.",487,750,270,0,1.540041068
Public services,Public Transportation & Parking.Transit Service Reliability,"Covers disruptions, delays, or cancellations in bus, train, or other transit services that negatively impact commuters.",757,1132,305,0,1.495376486
Public services,"Road Infrastructure & Maintenance.Drainage, Lighting, and Signage Deficiencies","Addresses issues with poor drainage causing flooding, malfunctioning street lighting, and unclear road signage that compromise safety.",423,555,233,0,1.312056738
Public services,Road Infrastructure & Maintenance.Potholes and Surface Damage,"Covers complaints about deteriorated road surfaces, dangerous potholes, and vehicle/pedestrian safety hazards.",821,1157,305,0,1.409257004
Public services,Uncategorised.No category,,85,199,29,0,2.341176471
Public services,Uncategorised.Not enough information,,413,645,228,0,1.561743341
Public services,"Utilities & Essential Services.Broadband, Smart Meter & Digital Utility Issues","Highlights frustrations with unreliable broadband connectivity, smart meter malfunctions, and other digital utility service failures.",175,85,57,0,0.4857142857
Public services,"Utilities & Essential Services.Water, Energy & Utility Disruptions","Covers issues with poor water quality, low water pressure, power outages, and metering problems that disrupt everyday life.",744,574,222,0,0.7715053763
Public services,Waste Management & Recycling.Bin Collection Inconsistency,"Focuses on delays, missed collections, or irregular pickup schedules that disrupt proper disposal of waste.",2774,3278,1141,0,1.181687094
Public services,Waste Management & Recycling.Recycling System Barriers,"Highlights frustrations with new recycling protocols, unsuitable bag sizes, and confusing digital changes hindering effective recycling.",314,703,152,0,2.238853503
Tax,"Everyday Tax Observations and Humor.Humorous, Sarcastic, and Ironic Tax Remarks","Comments that use humor, sarcasm, or irony to reflect on everyday tax issues, highlighting perceived absurdities and frustrations about tax policies and enforcement.",115,258,53,0,2.243478261
Tax,Local Taxation and Public Spending.Council Tax Increases & Service Cuts,"Comments criticizing rising council tax rates alongside diminishing local services, such as reduced road repairs, shrinking public amenities, and overall poor return on taxpayer money.",431,1047,221,0,2.429234339
Tax,Local Taxation and Public Spending.Extra Charges and Waste Management Fees,Comments focusing on additional fees imposed on residents—such as charges for garden or brown bin waste collection—that exacerbate the burden on households already paying council tax.,78,200,30,0,2.564102564
Tax,Local Taxation and Public Spending.Infrastructure Spending and Misallocation,"Comments that condemn the misallocation or wasteful spending of local tax revenues on projects like pothole repairs, beautification schemes, or public facility upgrades that do not meet community needs.",91,273,61,0,3
Tax,Political Tax Discourse and Policy Debates.Critiques of Government Spending & Waste,Comments sharply criticizing both local and central government for mismanaging or wasting taxpayer money on projects and policies that fail to deliver proper services.,196,556,115,0,2.836734694
Tax,Political Tax Discourse and Policy Debates.Debates on Tax Fairness and Inequality,"Comments debating the fairness of tax burdens—often contrasting the wealthy with working-class people, questioning if the rich evade or pay less tax compared to ordinary citizens.",35,42,18,0,1.2
Tax,Political Tax Discourse and Policy Debates.Electoral Promises and Political Tax Reforms,"Comments linking tax increases and spending cuts to electoral promises, critiquing political party policies and proposals for tax reform as either burdensome or insufficient.",16,39,19,0,2.4375
Tax,"Tax Administration and Customer Service.HMRC Communications, Refunds & Scam Concerns","Comments about delays, confusing notifications, or potential scams in interactions with HMRC, including issues with tax refunds and unclear correspondence.",29,28,5,0,0.9655172414
Tax,"Tax Administration and Customer Service.Inheritance, Probate & Complex Tax Matters","Comments that discuss challenging tax issues such as Inheritance Tax, probate complications, and other complex legal tax processes encountered by individuals.",3,7,1,0,2.333333333
Tax,Tax Administration and Customer Service.Payment Systems and Administrative Hurdles,"Comments highlighting difficulties with tax payment methods—such as problems with direct debits, online systems, or postal delays—and other bureaucratic glitches.",13,21,2,0,1.615384615
Tax,Tax Avoidance and Evasion.Criticism of Tax Dodging and Evasion Practices,"Comments condemning individuals, corporations, or politicians for exploiting loopholes, dodging tax obligations, and engaging in unethical financial practices.",28,81,38,0,2.892857143
Tax,Tax Burden and Economic Impact.Financial Stress and Impact on Cost of Living,"Comments connecting rising taxes—whether council tax, road tax, or others—to increased personal financial pressure and higher overall cost of living for households.",12,80,14,0,6.666666667
Tax,"Vehicle Taxation and Enforcement.Parking Regulations, Fines & Permit Systems","Comments addressing issues of parking enforcement including clamping, fines, and permit systems, with debates centering on whether vehicles are taxed, insured, and MOT’d.",18,65,11,0,3.611111111
Tax,"Vehicle Taxation and Enforcement.Road/Vehicle Tax, MOT, and Compliance","Comments discussing obligations related to vehicle tax payments, MOT checks, and overall compliance, often linking these taxes to funding road maintenance and safety measures.",97,222,81,0,2.288659794
Technology,Broadband and Mobile Connectivity.Broadband Service Complaints,"Discussions focused on user frustration with fixed‐line internet speeds, frequent outages, and installation delays from broadband providers.",302,167,114,0,0.5529801325
Technology,Broadband and Mobile Connectivity.Mobile Network and Signal Issues,"Comments addressing poor cellular reception, call dropouts, and overall dissatisfaction with mobile network reliability.",152,101,68,0,0.6644736842
Technology,"Cybersecurity, Scams, and Online Fraud.Cybersecurity and Account Safety","Concerns over hacking, phishing, and data breaches, with emphasis on protecting personal accounts and sensitive information from digital threats.",31,30,12,0,0.9677419355
Technology,"Cybersecurity, Scams, and Online Fraud.Fraud and Scam Experiences","Accounts of scam phone calls, fake QR codes, fraudulent payment apps, and deceptive practices exploiting technology.",45,39,26,0,0.8666666667
Technology,Digital Payment Systems and Cashless Society.Cashless Society Concerns,"Critiques of the shift toward cashless systems, emphasizing issues like digital exclusion, loss of privacy, and potential government control.",194,619,168,0,3.190721649
Technology,Digital Payment Systems and Cashless Society.Digital Payment Frustrations,"Talks about glitches with payment apps, problems using self‐service payment machines, and difficulties completing digital transactions.",77,107,38,0,1.38961039
Technology,Digital Services and Apps User Experience.App Functionality and Reliability,"Feedback and frustration with apps used for parking, banking, healthcare, and other services—including glitches, connectivity issues, and poor user interfaces.",158,295,105,0,1.867088608
Technology,Digital Services and Apps User Experience.Digital Infrastructure and Urban Tech,"Discussions about physical digital infrastructure such as fibre broadband, 5G masts, and telegraph poles, including concerns over planning, aesthetics, and rollout timelines.",60,142,30,0,2.366666667
Technology,Electric and Autonomous Mobility.Autonomous Transport and Delivery Robots,"Topics addressing driverless vehicles, autonomous public transport (including driverless buses) and emerging delivery robots, with attention to safety and employment implications.",54,61,20,0,1.12962963
Technology,Electric and Autonomous Mobility.Electric Mobility Critiques,"Conversations critiquing electric vehicles, electric scooters, and other battery‐powered transport on issues like charging, range, safety, and cost.",156,306,137,0,1.961538462
Technology,IoT and Smart Home Devices.IoT Performance and Reliability,"Feedback on technical malfunctions, glitches, and challenges of maintaining reliable performance with connected devices in daily life.",50,42,13,0,0.84
Technology,IoT and Smart Home Devices.Smart Home and Security Devices,"Commentary on in‑home technologies such as smart meters, smart doorbells, and connected security devices, including subscription and usability issues.",106,146,49,0,1.377358491
Technology,Retail Automation and Self-Service Technology.Automated Banking and Service Kiosks,"Topics covering the closure of bank branches, removal of traditional ticket offices, and other automated public service systems that reduce human contact.",6,44,10,0,7.333333333
Technology,Retail Automation and Self-Service Technology.Automated Retail Services,"Discussions on self‐checkout kiosks, unmanned tills, and automated in‐store services, with a focus on customer experience and employment impact.",173,511,95,0,2.953757225
